t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
188.004,measure,9383,9384,0,0,9376,5537098,1.575,568136,1490284,1,0,50.00,9384,0
188.999,measure,9433,9433,0,16,9426,5566500,1.575,568220,1490252,1,0,50.00,9433,0
190.004,measure,9483,9484,0,0,9476,5596112,1.575,568232,1490252,1,0,50.00,9484,0
190.996,measure,9533,9533,0,13,9526,5625826,1.575,568240,1490252,1,0,50.00,9533,0
192.004,measure,9583,9584,0,0,9576,5655975,1.575,568252,1490252,1,0,50.00,9584,0
192.995,measure,9633,9633,0,11,9626,5685374,1.575,568260,1490252,1,0,50.00,9633,0
194.004,measure,9683,9684,0,0,9676,5714825,1.575,568276,1490252,1,0,50.00,9684,0
194.996,measure,9733,9733,0,14,9726,5744406,1.575,565868,1490252,1,0,50.00,9733,0
195.998,measure,9783,9783,0,15,9776,5774288,1.575,560484,1490252,1,0,49.95,9783,0
197.002,measure,9833,9834,0,0,9826,5803698,1.575,555400,1490252,1,0,50.10,9834,0
197.996,measure,9883,9883,0,13,9876,5833226,1.575,550024,1490252,1,0,50.00,9883,0
199.004,measure,9933,9934,0,0,9926,5862759,1.575,544564,1490252,1,0,50.00,9934,0
200.004,measure,9983,9984,0,1,9976,5892419,1.575,539128,1490252,1,0,50.00,9984,0
200.997,measure,10033,10033,0,14,10026,5922121,1.575,534000,1490252,1,0,50.00,10033,0
202.004,measure,10083,10084,0,0,10076,5952168,1.575,528660,1490252,1,0,50.00,10084,0
202.997,measure,10133,10133,0,13,10126,5982286,1.575,523384,1490252,1,0,50.00,10133,0
204.004,measure,10183,10184,0,0,10176,6012231,1.575,518180,1490252,1,0,50.00,10184,0
204.996,measure,10233,10233,0,11,10226,6042046,1.575,513028,1490252,1,0,49.95,10233,0
205.995,measure,10283,10283,0,11,10276,6071857,1.575,508484,1490252,1,0,50.05,10283,0
207.004,measure,10333,10334,0,0,10326,6101785,1.575,503624,1490252,1,0,49.95,10334,0
208.004,measure,10383,10384,0,0,10376,6131456,1.575,498592,1490252,1,0,50.00,10384,0
209.005,measure,10433,10434,0,0,10426,6161198,1.575,493600,1490252,1,0,50.05,10434,0
210.004,measure,10483,10484,0,0,10476,6190993,1.575,488676,1490252,1,0,50.00,10484,0
210.998,measure,10533,10533,0,15,10526,6220366,1.575,483788,1490252,1,0,49.95,10533,0
211.995,measure,10583,10583,0,12,10576,6249967,1.575,478944,1490252,1,0,50.00,10583,0
213.004,measure,10633,10634,0,0,10626,6279330,1.575,474192,1490252,1,0,50.00,10634,0
214.003,measure,10683,10684,0,0,10676,6309068,1.575,469444,1490252,1,0,50.05,10684,0
215.003,measure,10733,10734,0,0,10726,6338980,1.575,464740,1490252,1,0,49.95,10734,0
216.004,measure,10783,10784,0,0,10776,6368822,1.575,460088,1490252,1,0,50.00,10784,0
217.004,measure,10833,10834,0,0,10826,6398356,1.575,458700,1490252,1,0,49.95,10834,0
218.002,measure,10883,10884,0,1,10876,6427498,1.575,457324,1490252,1,0,50.05,10884,0
218.995,measure,10933,10933,0,12,10926,6456827,1.575,455952,1490252,1,0,50.00,10933,0
219.999,measure,10983,10983,0,16,10976,6486213,1.575,454584,1490252,1,0,50.05,10983,0
