t_s,phase,frame_number,interval_ms
13.092,warmup,648,21.901
13.110,warmup,649,18.052
13.130,warmup,650,19.894
13.150,warmup,651,20.161
13.170,warmup,652,19.788
13.189,warmup,653,18.892
13.209,warmup,654,20.031
13.229,warmup,655,20.103
13.250,warmup,656,21.172
13.270,warmup,657,19.725
13.290,warmup,658,20.061
13.312,warmup,659,22.544
13.328,warmup,660,15.995
13.351,warmup,661,22.127
13.372,warmup,662,21.298
13.390,warmup,663,17.792
13.410,warmup,664,20.619
13.430,warmup,665,19.812
13.449,warmup,666,19.402
13.468,warmup,667,18.428
13.490,warmup,668,22.221
13.511,warmup,669,20.690
13.530,warmup,670,19.349
13.548,warmup,671,18.102
13.569,warmup,672,20.709
13.593,warmup,673,24.176
13.609,warmup,674,16.138
13.628,warmup,675,18.658
13.650,warmup,676,22.179
13.668,warmup,677,18.159
13.689,warmup,678,20.939
13.710,warmup,679,20.659
13.729,warmup,680,19.413
13.749,warmup,681,19.300
13.770,warmup,682,21.687
13.789,warmup,683,19.058
13.809,warmup,684,20.124
13.828,warmup,685,18.796
13.850,warmup,686,22.175
13.872,warmup,687,22.011
13.889,warmup,688,16.073
13.909,warmup,689,20.771
13.930,warmup,690,21.074
13.950,warmup,691,20.050
13.969,warmup,692,18.921
13.990,warmup,693,20.598
14.009,warmup,694,19.274
14.029,warmup,695,20.149
14.049,warmup,696,19.266
14.070,warmup,697,21.214
14.090,warmup,698,20.464
14.109,warmup,699,18.652
14.130,warmup,700,21.258
14.152,warmup,701,21.843
14.169,warmup,702,17.112
14.190,warmup,703,20.853
14.210,warmup,704,20.359
14.230,warmup,705,19.608
14.250,warmup,706,20.006
14.271,warmup,707,20.668
14.290,warmup,708,19.289
14.309,warmup,709,19.554
14.330,warmup,710,20.103
14.350,warmup,711,20.891
14.370,warmup,712,19.143
14.387,warmup,713,17.859
14.409,warmup,714,21.182
14.434,warmup,715,24.935
14.448,warmup,716,14.464
14.469,warmup,717,21.197
14.491,warmup,718,21.678
14.511,warmup,719,19.920
14.530,warmup,720,18.837
14.551,warmup,721,20.828
14.568,warmup,722,17.894
14.590,warmup,723,21.197
14.610,warmup,724,20.158
14.630,warmup,725,19.766
14.650,warmup,726,20.057
14.668,warmup,727,18.811
14.688,warmup,728,19.684
14.713,warmup,729,24.463
14.728,warmup,730,15.549
14.749,warmup,731,21.328
14.770,warmup,732,20.526
14.788,warmup,733,18.416
14.809,warmup,734,20.860
14.830,warmup,735,20.433
14.849,warmup,736,19.687
14.869,warmup,737,19.741
14.890,warmup,738,21.273
14.909,warmup,739,18.748
14.929,warmup,740,20.066
14.949,warmup,741,20.156
14.968,warmup,742,18.818
14.994,warmup,743,25.459
15.009,warmup,744,15.545
15.030,warmup,745,21.119
15.050,warmup,746,20.027
15.070,warmup,747,19.239
15.090,warmup,748,20.212
15.110,warmup,749,20.592
15.130,warmup,750,19.163
15.149,warmup,751,19.981
15.171,warmup,752,21.052
15.188,warmup,753,17.897
15.209,warmup,754,21.034
15.230,warmup,755,20.280
15.250,warmup,756,20.691
15.274,warmup,757,23.158
15.289,warmup,758,15.832
15.309,warmup,759,19.780
15.330,warmup,760,21.119
15.351,warmup,761,20.328
15.370,warmup,762,19.197
15.390,warmup,763,20.477
15.410,warmup,764,19.426
15.431,warmup,765,20.779
15.451,warmup,766,20.170
15.469,warmup,767,17.829
15.490,warmup,768,20.977
15.510,warmup,769,20.264
15.531,warmup,770,21.247
15.552,warmup,771,21.449
15.570,warmup,772,17.070
15.590,warmup,773,20.369
15.611,warmup,774,20.877
15.630,warmup,775,18.793
15.650,warmup,776,20.257
15.671,warmup,777,21.049
15.690,warmup,778,19.061
15.710,warmup,779,20.113
15.730,warmup,780,19.843
15.751,warmup,781,20.652
15.769,warmup,782,18.350
15.790,warmup,783,21.046
15.810,warmup,784,20.380
15.833,warmup,785,22.333
15.851,warmup,786,18.072
15.870,warmup,787,18.783
15.891,warmup,788,21.449
15.909,warmup,789,18.521
15.930,warmup,790,20.058
15.951,warmup,791,21.190
15.970,warmup,792,18.851
15.990,warmup,793,20.106
16.012,warmup,794,21.888
16.030,warmup,795,18.085
16.049,warmup,796,18.828
16.069,warmup,797,20.818
16.090,warmup,798,20.674
16.114,warmup,799,24.066
16.130,warmup,800,15.704
16.150,warmup,801,20.119
16.171,warmup,802,21.087
16.189,warmup,803,18.068
16.210,warmup,804,20.936
16.231,warmup,805,21.277
16.250,warmup,806,18.566
16.271,warmup,807,21.675
16.291,warmup,808,19.118
16.310,warmup,809,19.685
16.330,warmup,810,20.022
16.349,warmup,811,18.966
16.369,warmup,812,20.063
16.393,warmup,813,23.299
16.409,warmup,814,16.610
16.430,warmup,815,21.120
16.451,warmup,816,20.383
16.469,warmup,817,18.372
16.491,warmup,818,21.612
16.512,warmup,819,21.105
16.531,warmup,820,18.786
16.550,warmup,821,19.023
16.571,warmup,822,20.881
16.590,warmup,823,19.936
16.609,warmup,824,18.312
16.628,warmup,825,19.670
16.651,warmup,826,22.222
16.674,warmup,827,23.195
16.689,warmup,828,14.700
16.709,warmup,829,20.925
16.730,warmup,830,20.951
16.750,warmup,831,19.324
16.769,warmup,832,19.458
16.790,warmup,833,21.216
16.809,warmup,834,19.007
16.829,warmup,835,19.967
16.850,warmup,836,21.070
16.870,warmup,837,19.906
16.890,warmup,838,19.235
16.909,warmup,839,19.609
16.929,warmup,840,20.125
16.953,warmup,841,23.256
16.968,warmup,842,15.738
16.989,warmup,843,21.138
17.010,warmup,844,20.861
17.029,warmup,845,19.088
17.049,warmup,846,19.889
17.070,warmup,847,21.113
17.090,warmup,848,19.183
17.109,warmup,849,19.694
17.130,warmup,850,21.128
17.149,warmup,851,18.824
17.169,warmup,852,20.093
17.188,warmup,853,19.002
17.209,warmup,854,20.908
17.234,warmup,855,24.332
17.249,warmup,856,15.329
17.269,warmup,857,20.502
17.290,warmup,858,20.945
17.310,warmup,859,19.636
17.330,warmup,860,20.001
17.350,warmup,861,20.364
17.370,warmup,862,19.631
17.390,warmup,863,19.938
17.409,warmup,864,18.933
17.430,warmup,865,20.915
17.450,warmup,866,19.966
17.468,warmup,867,18.199
17.490,warmup,868,21.819
17.513,warmup,869,23.323
17.531,warmup,870,17.795
17.549,warmup,871,18.464
17.571,warmup,872,21.439
17.589,warmup,873,18.586
17.610,warmup,874,20.383
17.631,warmup,875,20.760
17.649,warmup,876,18.086
17.670,warmup,877,20.907
17.689,warmup,878,19.097
17.709,warmup,879,20.597
17.730,warmup,880,20.824
17.969,warmup,883,238.778
17.969,warmup,883,0.311
17.989,warmup,884,20.195
18.010,warmup,885,20.814
18.029,warmup,886,19.153
