t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
193.991,warmup,9683,9683,0,7,9681,5731338,3.871,1022140,1486936,1,0,50.00,9683,0
194.997,warmup,9733,9733,0,13,9731,5760334,3.871,1022140,1486936,1,0,50.05,9733,0
195.997,warmup,9783,9783,0,14,9781,5789220,3.871,1022136,1486936,1,0,50.00,9783,0
196.997,warmup,9833,9833,0,14,9831,5818196,3.871,1021844,1486936,1,0,50.00,9833,0
197.997,warmup,9883,9883,0,14,9881,5847530,3.871,1019144,1486936,1,0,50.05,9883,0
198.996,warmup,9933,9933,0,13,9931,5877431,3.871,1016080,1486936,1,0,50.00,9933,0
199.995,warmup,9983,9983,0,12,9981,5906873,3.871,1013532,1486936,1,0,50.00,9983,0
200.991,warmup,10033,10033,0,8,10031,5936721,3.871,1013296,1486936,1,0,50.00,10033,0
201.997,warmup,10083,10083,0,13,10081,5965661,3.871,1013296,1486936,1,0,50.00,10083,0
202.996,warmup,10133,10133,0,13,10131,5995595,3.871,1013300,1486936,1,0,49.95,10133,0
203.997,warmup,10183,10183,0,14,10181,6025172,3.871,1012060,1486936,1,0,50.05,10183,0
204.996,warmup,10233,10233,0,13,10231,6054523,3.871,1010348,1486936,1,0,50.00,10233,0
205.994,warmup,10283,10283,0,10,10281,6083778,3.871,1008088,1486936,1,0,50.00,10283,0
206.996,warmup,10333,10333,0,13,10331,6113482,3.871,1005192,1486936,1,0,50.00,10333,0
207.992,warmup,10383,10383,0,9,10381,6142664,3.871,1002292,1486936,1,0,50.00,10383,0
208.993,warmup,10433,10433,0,10,10431,6171528,3.871,1001280,1486936,1,0,50.00,10433,0
209.997,warmup,10483,10483,0,13,10481,6200878,3.871,1001280,1486936,1,0,50.00,10483,0
210.995,warmup,10533,10533,0,12,10531,6229894,3.871,1001284,1486936,1,0,50.00,10533,0
211.996,warmup,10583,10583,0,13,10581,6259195,3.871,1001284,1486936,1,0,50.00,10583,0
212.996,warmup,10633,10633,0,13,10631,6288568,3.871,1001288,1486940,1,0,50.00,10633,0
213.991,warmup,10683,10683,0,7,10681,6317722,3.871,1001292,1486940,1,0,50.00,10683,0
214.991,warmup,10733,10733,0,8,10731,6347338,3.871,1001292,1486940,1,0,49.95,10733,0
215.997,warmup,10783,10783,0,14,10781,6376586,3.871,1001296,1486940,1,0,50.00,10783,0
216.997,warmup,10833,10833,0,14,10831,6406062,3.871,1001296,1486940,1,0,50.00,10833,0
217.997,warmup,10883,10883,0,14,10881,6435258,3.871,1001296,1486940,1,0,50.05,10883,0
218.992,warmup,10933,10933,0,9,10931,6464798,3.871,1001304,1486940,1,0,49.95,10933,0
219.997,warmup,10983,10983,0,13,10981,6494546,3.871,999300,1486940,1,0,50.05,10983,0
220.993,warmup,11033,11033,0,9,11031,6523855,3.871,996396,1486940,1,0,50.00,11033,0
221.991,warmup,11083,11083,0,8,11081,6553836,3.871,993400,1486940,1,0,50.00,11083,0
222.992,warmup,11133,11133,0,7,11131,6583273,3.871,990536,1486940,1,0,49.95,11133,0
223.997,warmup,11183,11183,0,13,11181,6613460,3.871,988292,1486940,1,0,50.00,11183,0
224.996,warmup,11233,11233,0,13,11231,6642664,3.871,985504,1486940,1,0,49.95,11233,0
225.996,warmup,11283,11283,0,12,11281,6672328,3.871,982596,1486940,1,0,50.05,11283,0
226.996,warmup,11333,11333,0,12,11331,6701464,3.871,979688,1486940,1,0,50.00,11333,0
227.992,warmup,11383,11383,0,8,11381,6730777,3.871,976784,1486940,1,0,50.00,11383,0
228.991,warmup,11433,11433,0,7,11431,6761267,3.871,973848,1486940,1,0,50.00,11433,0
229.996,warmup,11483,11483,0,12,11481,6791424,3.871,970920,1486940,1,0,50.00,11483,0
230.996,warmup,11533,11533,0,13,11531,6821465,3.871,968152,1486940,1,0,50.05,11533,0
231.991,warmup,11583,11583,0,6,11581,6850870,3.871,965308,1486940,1,0,49.95,11583,0
232.993,warmup,11633,11633,0,9,11631,6880751,3.871,962408,1486940,1,0,49.95,11633,0
233.996,warmup,11683,11683,0,12,11681,6910343,3.871,959516,1486940,1,0,50.00,11683,0
234.992,warmup,11733,11733,0,7,11731,6939217,3.871,956644,1486940,1,0,50.05,11733,0
235.992,warmup,11783,11783,0,8,11781,6968788,3.871,953768,1486940,1,0,50.00,11783,0
236.996,warmup,11833,11833,0,13,11831,6998586,3.871,950940,1486940,1,0,50.00,11833,0
237.997,warmup,11883,11883,0,13,11881,7027793,3.871,948084,1486940,1,0,50.00,11883,0
238.997,warmup,11933,11933,0,13,11931,7057264,3.871,945520,1486940,1,0,50.00,11933,0
239.993,warmup,11983,11983,0,9,11981,7086850,3.871,943264,1486940,1,0,50.00,11983,0
240.993,warmup,12033,12033,0,8,12031,7116937,3.871,940592,1486940,1,0,50.00,12033,0
241.993,warmup,12083,12083,0,8,12081,7145895,3.871,937888,1486940,1,0,50.00,12083,0
242.992,warmup,12133,12133,0,7,12131,7175679,3.871,935260,1486940,1,0,50.00,12133,0
243.997,warmup,12183,12183,0,13,12181,7205107,3.871,932828,1487512,1,0,50.00,12183,0
244.992,warmup,12233,12233,0,7,12231,7234772,3.871,930028,1487512,1,0,50.00,12233,0
245.997,warmup,12283,12283,0,14,12281,7264597,3.871,927232,1487512,1,0,50.00,12283,0
246.992,warmup,12333,12333,0,9,12331,7294533,3.871,924448,1487512,1,0,49.95,12333,0
247.996,warmup,12383,12383,0,13,12381,7324572,3.871,921676,1487512,1,0,50.10,12383,0
248.997,warmup,12433,12433,0,14,12431,7354152,3.871,918912,1487512,1,0,50.00,12433,0
249.991,warmup,12483,12483,0,7,12481,7383758,3.871,916156,1487512,1,0,50.00,12483,0
250.997,warmup,12533,12533,0,14,12531,7413183,3.871,913404,1487512,1,0,50.00,12533,0
251.997,warmup,12583,12583,0,14,12581,7442184,3.871,910660,1487512,1,0,49.95,12583,0
252.991,warmup,12633,12633,0,7,12631,7471899,3.871,907916,1487512,1,0,50.00,12633,0
253.993,warmup,12683,12683,0,10,12681,7500905,3.871,905184,1487512,1,0,50.00,12683,0
254.995,warmup,12733,12733,0,11,12731,7529894,3.871,902464,1487512,1,0,50.00,12733,0
255.992,warmup,12783,12783,0,9,12781,7559478,3.871,899712,1487428,1,0,50.05,12783,0
256.991,warmup,12833,12833,0,8,12831,7588981,3.871,897012,1487428,1,0,49.95,12833,0
257.996,warmup,12883,12883,0,13,12881,7618481,3.871,894312,1487428,1,0,50.05,12883,0
258.996,warmup,12933,12933,0,13,12931,7648131,3.871,891620,1487428,1,0,49.95,12933,0
259.996,warmup,12983,12983,0,13,12981,7677873,3.871,888944,1487428,1,0,50.05,12983,0
260.996,warmup,13033,13033,0,14,13031,7707413,3.871,886268,1487428,1,0,50.00,13033,0
261.997,warmup,13083,13083,0,12,13081,7736469,3.871,883600,1487428,1,0,50.00,13083,0
262.994,warmup,13133,13133,0,10,13131,7765528,3.871,880948,1487428,1,0,50.00,13133,0
263.992,warmup,13183,13183,0,7,13181,7794753,3.871,878296,1487428,1,0,50.00,13183,0
264.992,warmup,13233,13233,0,9,13231,7823930,3.871,875656,1487428,1,0,50.00,13233,0
265.997,warmup,13283,13283,0,14,13281,7853030,3.871,873028,1487428,1,0,50.00,13283,0
266.997,warmup,13333,13333,0,14,13331,7882930,3.871,870420,1487428,1,0,50.00,13333,0
267.994,warmup,13383,13383,0,11,13381,7911817,3.871,867804,1487428,1,0,50.00,13383,0
268.997,warmup,13433,13433,0,14,13431,7940559,3.871,865228,1487428,1,0,50.00,13433,0
269.997,warmup,13483,13483,0,13,13481,7969842,3.871,862676,1487460,1,0,50.00,13483,0
270.991,warmup,13533,13533,0,9,13531,7999630,3.871,860096,1487460,1,0,50.00,13533,0
271.996,warmup,13583,13583,0,12,13581,8029301,3.871,857548,1487460,1,0,50.00,13583,0
272.994,warmup,13633,13633,0,10,13631,8059398,3.871,854968,1487460,1,0,49.95,13633,0
273.997,warmup,13683,13683,0,14,13681,8089292,3.871,852412,1487460,1,0,50.00,13683,0
